"id"|"tweet"|"created_at"
"697976867773681668"|"Fact check on @HillaryClinton:  They should be sent back… 
https://t.co/nmDoWgLOUW"|"Fri Feb 12 02:53:47 +0000 2016"
"697976416089042944"|"It is appalling that @HillaryClinton insisted that minors be shipped back to their country of origin like a package marked return to sender."|"Fri Feb 12 02:52:00 +0000 2016"
"697975959581016064"|"Bernie’s guiding light on the issue of immigration reform: keeping families together, not dividing them up. #DemDebate"|"Fri Feb 12 02:50:11 +0000 2016"
"697973125481422848"|"RT @ErikaAndiola:  When we have more people in jail, mostly Black and Latino, we know we need to invest in education, not incarceration.  -…"|"Fri Feb 12 02:38:55 +0000 2016"
"697972379553763328"|"We need radical, not incremental, reforms in our criminal justice system. #DemDebate"|"Fri Feb 12 02:35:57 +0000 2016"
"697971777834741760"|"1 in 4 black males born today can expect to spend time in prison during their lifetime. That is an unspeakable tragedy. #DemDebate"|"Fri Feb 12 02:33:34 +0000 2016"
"697969847301492736"|"Young people in this country know exactly what they're doing. They know we need big change, not just small steps. https://t.co/fbeqX8Sedh"|"Fri Feb 12 02:25:53 +0000 2016"
"697969112945971200"|"Only one candidate has laid out exactly how to pay for all of their proposals. Hint: it's on this site: https://t.co/zVtaKCxObf #DemDebate"|"Fri Feb 12 02:22:58 +0000 2016"
"697968169454067712"|"The reality is there is one major country on earth that does not guarantee health care to all people: the United States. #DemDebate"|"Fri Feb 12 02:19:13 +0000 2016"
"697967233629298688"|"The truth: 29 million Americans have no health insurance, 31 million are uninsured. Only one candidate has a plan to change that. #DemDebate"|"Fri Feb 12 02:15:30 +0000 2016"
"697966043151491072"|"We need a political revolution. The same old, same old just isn't going to do it. We have got to be bold. #DemDebate"|"Fri Feb 12 02:10:46 +0000 2016"
"697962414453743617"|"Tune in tonight to the PBS #DemDebate. Watch at 9pm ET on PBS or CNN or stream online here: https://t.co/OUvRheicBs #DebateWithBernie"|"Fri Feb 12 01:56:21 +0000 2016"
"697924356949716993"|"When you tell a woman that she cannot control her own body, that's extremism."|"Thu Feb 11 23:25:08 +0000 2016"
"697903446318387202"|"Democratic Socialism means democracy. It means creating a government that represents all of us, not just the wealthiest people in America."|"Thu Feb 11 22:02:02 +0000 2016"
"697883081986805765"|"It makes no sense to me that the United States of America has more jails and prisons than colleges and universities."|"Thu Feb 11 20:41:07 +0000 2016"
"697860676023296000"|"We are going to get the government out of profiteering on student loans. That is going to change."|"Thu Feb 11 19:12:05 +0000 2016"
"697841544729010177"|"In the industrialized world, the United States is Number 1 in billionaires and Number 1 in childhood poverty. That's outrageous."|"Thu Feb 11 17:56:04 +0000 2016"
"697840420080873472"|"RT @WPJohnWagner: Entertainer Harry Belafonte makes his endorsement of Bernie Sanders official with a video https://t.co/JT6frObm0J"|"Thu Feb 11 17:51:36 +0000 2016"
"697822931708055554"|"Calling voters is one of highest impact things you can do to help our campaign. Please help us win: https://t.co/OtDJlNL2Da"|"Thu Feb 11 16:42:06 +0000 2016"
"697806126729920515"|"Banking should help our communities, not be an island unto itself benefiting only the wealthy.
https://t.co/PSL55WvtFM"|"Thu Feb 11 15:35:19 +0000 2016"
"697797197132382208"|"No president alone can effectively address the crises facing the working families of this country without a powerful grassroots movement."|"Thu Feb 11 14:59:50 +0000 2016"
